Comic_Name,Issue_Title,Date_Of_Publication,Issue_Description,Writer,Price,Character_Name,Character_Alignment,Character_Gender,Character_Race
Black Panther (1977 - 1979),Black Panther (1977) #6,"November 10, 1977","Panther and Abner seek out the Water of Immortality in faraway Samurai City. In Wakanda, General Jakarra stages a mutiny against T’Challa- the Black Panther…and Jakarra’s half-brother!",None, $0.35,Black Panther,good,Male,Human
Black Panther (1977 - 1979),Black Panther (1977) #5,"September 10, 1977","The Prince of Wakanda takes off on a new adventure! With Abner Little in company, Black Panther begins his quest for a sacred water-skin. But will Zanda’s reckless behavior derail the mission?",None, $0.30,Black Panther,good,Male,Human
Black Panther (1977 - 1979),Black Panther (1977) #4,"July 10, 1977",Black Panther’s locked in mystical battle with the Collectors! But first? A timely escape from King Solomon’s tomb. Panther and Abner discover Zanda’s loyalties are with her kingdom- is she a friend or foe?,None, $0.30,Black Panther,good,Male,Human
Black Panther (1977 - 1979),Black Panther (1977) #3,"May 10, 1977","In the caverns of King Solomon’s tomb! Perils abound lie in wait for Panther, Abner Little, and Princess Zanda. Will the trio find the second Brass Frog and restore King Solomon’s time machine?",None, $0.30,Black Panther,good,Male,Human
Black Panther (1977 - 1979),Black Panther (1977) #2,"March 10, 1977",Hatch-22 is a creature out of time- and he’s not happy about it! Princess Zanda aligns herself with Panther and Abner Little to see Hatch-22 returned to the ‘Sixth Era of Man.’ But will Panther and company find the second Brass Frog in time? Black Panther will need to go to King Solomon's tomb to set right the wrongs unleashed by a dangerous artifact!,None, $0.30,Black Panther,good,Male,Human
Black Panther (1977 - 1979),Black Panther (1977) #1,"January 10, 1977","Marvel legend Jack Kirby presents Black Panther in his first ongoing series! While helping Abner Little recollect a precious artifact, Black Panther runs afoul of the Collectors! And in the midst of the tussle…an ancient time machine is activated! Enter Hatch-22, a creature from a time and space unknown.",None, $0.30,Black Panther,good,Male,Human
Black Panther (1988),Black Panther (1988) #4,"October 01, 1988",At last! T’Challa begins his spiritual quest to battle the Panther Spirit…with the future of Wakanda at stake.,Peter Gillis, Free,Black Panther,good,Male,Human
Black Panther (1988),Black Panther (1988) #3,"September 01, 1988","Azania goes to war with Wakanda! After his vocal, (and physical), disapproval at Azania’s treatment of her black citizens, T’Challa stands poised to sacrifice his life.",Peter Gillis, Free,Black Panther,good,Male,Human
Black Panther (1988),Black Panther (1988) #2,"August 01, 1988","Black Panther deftly dissembles the Supremacists, a group of white Azanians who are terrorizing their nation by enforcing apartheid!",Peter Gillis, Free,Black Panther,good,Male,Human
,,,,,,Black Panther,good,Male,Human
Black Widow & the Marvel Girls (2009 - 2010),Black Widow & the Marvel Girls (2009) #4,"February 17, 2010","The Black Widow is not normally a woman who involves herself in gang wars, but this one is a bit different. When an ousted Torino family lieutenant forms a new mob ""family"" and comes after his old family with a vengeance, leading a renegade mob of moloids and kidnapping a U.S. senator who's a personal friend of the X-Men known as Storm, it's up to the Black Widow to put an end to this mob war. And she has to do it all with a team comprised of herself, and Storm, and the world's number one expert on moloids...the Mole Man. Rated A ...$2.99",Paul Tobin, $2.99,Black Widow,good,Female,Human
Black Widow & the Marvel Girls (2009 - 2010),Black Widow & the Marvel Girls (2009) #3,"January 20, 2010","She's S.H.I.E.L.D. agent Natasha Romanoff, and Nick Fury has two missions for his newest recruit. First, find out everything possible about the mysterious Ms. Marvel, and deal with her if deemed necessary. Secondly, infiltrate the Red Skull's organization and discover the location of one of the Skull's ""Sleeper"" robots before it spells doom for all mankind. Natasha Romanoff, the Black Widow, is soon to find that combining these two cases is the one way to stay alive. Rated A ...$2.99",Paul Tobin, $2.99,Black Widow,good,Female,Human
Black Widow & the Marvel Girls (2009 - 2010),Black Widow & the Marvel Girls (2009) #2,"December 23, 2009","Fitting in with the Avengers is not an easy job, not for a woman with no true powers beyond years of training and a ruthless ambition to succeed at any given task, and after a midair battle separates the Black Widow from the rest of her team, the mission to protect an advanced robot just got harder. Luckily, the Black Widow has her skills on her side, and the Avenger known as the Wasp at her back. Unluckily, the robot's owner is Dr. Doom, and Latveria's despotic ruler will stop at nothing to reclaim his own. 32 PGS. (EACH)/Rated A ...$2.99 (EACH)",Paul Tobin, $2.99,Black Widow,good,Female,Human
Black Widow & the Marvel Girls (2009 - 2010),Black Widow & the Marvel Girls (2009) #1,"December 03, 2009","She's the most efficient spy in the world and one of the world's deadliest women, but before there was ever a Black Widow, there was the Red Room, a brutal KGB training ground for assassins, undercover agents, and the most ruthless of spies. Now, tasked with removing a rogue weapon's dealer from an impregnable safe house, the Black Widow remembers her escape from the Red Room training facility, an escape only made possible with the aid of the most unlikely of allies, the Asgardian sorceress known as Amora...the Enchantress.",Paul Tobin, $2.99,Black Widow,good,Female,Human
Black Widow (1999),Black Widow Vol. I (Trade Paperback),"August 01, 2001","Yelena Belova, a young yet dangerous assassin, seeks to claim the mantle of Black Widow from Natasha Romanov, a former Soviet spy who defected to the West.",None,None,Black Widow,good,Female,Human
Black Widow (1999),Black Widow (1999) #3,"August 10, 1999","The Black Widow is dead. Yelena takes up arms against General Khan and gets into more trouble then she bargained for. With little hope, where will Yelena turn to as she squares off against Deathless Frenzy?",Devin Grayson, $2.99,Black Widow,good,Female,Human
Black Widow (1999),Black Widow (1999) #2,"July 10, 1999","After Yelena fails to execute Black Widow, Natasha makes her way to assassinate Dr. Didier Ines, and the bio-weapon, Deathless Frenzy. With Yelena hot on her trail, Black Widow's morals are put to the test. Will she betray her mission or herself?",Devin Grayson, $2.99,Black Widow,good,Female,Human
Black Widow (1999),Black Widow (1999) #1,"June 10, 1999","Natasha Romanoff has been assigned to track a new bio weapon created by Dr. Didier Ines. With Yelena Belova, the soon-to-be new Black Widow, shadowing Natasha, the pair may be in for more trouble than they realize.",J. G. Jones, $2.99,Black Widow,good,Female,Human
Black Widow (2001),Black Widow Vol. I (Trade Paperback),"August 01, 2001","Yelena Belova, a young yet dangerous assassin, seeks to claim the mantle of Black Widow from Natasha Romanov, a former Soviet spy who defected to the West.",None,None,Black Widow,good,Female,Human
Black Widow (2001),Black Widow (2001) #3,"March 10, 2001","Natasha comes face-to-face with herself. Disguised as Natasha, Yelena Belova takes on the original Black Widow in a face-off of ultimate espionage. Who will prove to be a better Natasha Romanoff?","Greg Rucka, Devin Grayson", $2.99,Black Widow,good,Female,Human
Black Widow (2001),Black Widow (2001) #2,"February 10, 2001","Natasha Romanoff begins her mission as Yelena Belova. She quickly discovers that her true identity may be under fire sooner than she thinks as she comes face-to-face with the real Yelena Belova, disguised as Natasha!","Greg Rucka, Devin Grayson", $2.99,Black Widow,good,Female,Human
Black Widow (2001),Black Widow (2001) #1,"January 10, 2001","As an attempt to fool the enemy, Natasha Romanoff undergoes a procedure to look like her nemesis Yelena Belova. Unbeknownst to the Black Widow, Yelena seems to have a similar trick up her sleeve.","Greg Rucka, Devin Grayson", $2.99,Black Widow,good,Female,Human
Black Widow (2004 - 2005),BLACK WIDOW: HOMECOMING TPB (Trade Paperback),"June 01, 2005","Collects Black Widow (2004) #1-6. The deadliest agent in the Marvel Universe has finally gotten out of the spy game, and she's not asking for much, just a life of her own. When a sudden assassination attempt provides a harsh reality check, the former Soviet agent tracks a string of international killings that will lead her back to a Russia she can barely recognize.",None,None,Black Widow,good,Female,Human
Black Widow (2004 - 2005),Black Widow (2004) #6,"April 01, 2005","Hell hath no fury like the Black Widow. She's here, she's feared, and she's ready to take down those who want her dead. Still reeling from the discoveries about her Red Room past, Natasha must first uncover one more secret...and the only person who can help her is the one person who's betrayed her the most! Featuring an appearance by Nick Fury. The searing comics debut of Philip K. Dick Award-winning novelist Richard K. Morgan will leave you hungry for more!",None, Free,Black Widow,good,Female,Human
Black Widow (2004 - 2005),Black Widow (2004) #5,"March 01, 2005","Armed with the shocking revelations about her Red Room past, Natasha leaves Moscow and heads to the birthplace of the Black Widow program. Has the time finally come for her to meet her maker?",None, Free,Black Widow,good,Female,Human
Black Widow (2004 - 2005),Black Widow (2004) #4,"February 01, 2005",The Widow comes home to Moscow for the first time in ages -- and what she finds there ain't pretty. The Motherland has changed a lot in the years since Natasha left the KGB. Picking up the pieces of her lost past leads her straight back to the elite black-ops training academy known only as the Red Room..or what's left it. The secrets she discovers about her training there will shatter her past and send shockwaves deep into her future.,None, Free,Black Widow,good,Female,Human
Black Widow (2004 - 2005),Black Widow (2004) #3,"January 01, 2005","The intrigue continues as the spy who melted Siberia - Natasha Romanova - uses herself as bait to get vital info. Meanwhile, her hunters in our nation's capital track her down, meaning - you guessed it - a guest appearance by Nick Fury! Join mega-watt stars Richard K. Morgan & Bill Sienkiewicz (and cover artist Greg Land) as they heat up Marvel's hardboiled redhead this November!",None, Free,Black Widow,good,Female,Human
Black Widow (2004 - 2005),Black Widow (2004) #2,"December 01, 2004","PART 2 (OF 6) No matter what she does to get out of the spy game, Natasha's past keeps catching up with her. With the help of a retired agent from her old S.H.I.E.L.D. days, the Black Widow investigates the murder of a woman and makes a startling discover",None, Free,Black Widow,good,Female,Human
Black Widow (2004 - 2005),Black Widow (2004) #1,"November 01, 2004",The Black Widow is BACK! Discover new secrets about Marvel's most infamous undercover agent.,None, Free,Black Widow,good,Female,Human
Black Widow (2010 - 2011),Black Widow (2010) #8,"November 24, 2010","""KISS OR KILL,"" PART 3 Your name is Nick Crane. You've met this beautiful girl, and you're traveling all over Eastern Europe. It'd be like some crazy romantic comedy, except for... well, the secret government torture rooms. The black hood (that smells like garlic) over your head. The kidnapping, the poison mist, the gunfire, the chase through the bitter cold and the train derailing. And now there's this crazy guy in a robot suit and some messed-up witch-looking woman coming after you, and the only thing between you and them is that beautiful girl, who calls herself Black Widow... and you know, you kind of think she still may have killed your father. Duane Swierczynski and Manuel Garcia's new era for the super-spy Avenger known as Black Widow continues here! Jump on now before the thrill-packed, globe-hopping, bone-snapping crossover with HAWKEYE AND MOCKINGBIRD kicks off next month. 32 PGS./Rated T ...$2.99",Duane Swierczynski, $2.99,Black Widow,good,Female,Human
,,,,,,Black Widow,good,Female,Human
Daredevil & Captain America: Dead on Arrival (2008),Daredevil & Captain America: Dead on Arrival (2008) #1,"November 05, 2008","Presented for the first time in North America: an amazing tale by two of Europe's top creators, starring two of the world's most popular super heroes! A series of bizarre murders suggests that a long-dead villain has returned from the grave. The desperate New York police turn
to the Man Without Fear, Daredevil, to solve the case. Daredevil, however, is unaware that Captain America is also investigating...
48 PGS./One-Shot/Mature ...$4.99",Tito Faraci, $4.99,Daredevil,good,Male,Human
Daredevil (1964 - 1998),Marvel Masterworks: Daredevil Vol. 4 (Hardcover),"February 21, 2007","It's an identity crisis for Daredevil as Matt Murdock juggles a bevy of baddies seeking to sully his good name while he juggles the triple-identity of Matt Murdock, Mike Murdock, and DD! You just might want to ready your slide ruler for tragedy with this kind of trigonometry.
After a dust-up with the Beetle, the Trapster attempts to trick the Fantastic Four into attacking DD by disguising himself as none other than ol' hornhead himself! Wiser minds prevail, but only until none other than Dr. Doom steps up to the plate! In one of Daredevil's most amazing Silver Age adventures, he goes toe-to-toe with Doc Doom-in opposite toes! You guessed it, the Latverian monarch switches bodies with Daredevil bringing on a battle that drags the Fantastic Four, Spider-Man, Thor into the mix in one of Marvel's first crossover bonanzas!
As if kicking him out of his own body wasn't enough, next the Exterminator tries to evict Daredevil from the time stream! With the Unholy Three at his employ to clobber the hornhead back into the Stone Age, he's got a good chance of succeeding 'cause there's at least one cast member that won't be making it out of this adventure alive. Collecting DAREDEVIL (Vol. 1) #33-41 and FANTASTIC FOUR (Vol.1) #73.
224 PGS./All Ages ...$54.99",None,None,Daredevil,good,Male,Human
Daredevil (1964 - 1998),Marvel Visionaries: John Romita Jr. (Hardcover),"October 26, 2005","Celebrating the artwork of John Romita Jr., a legend in his own right, on the anniversary of his first work on AMAZING SPIDER-MAN! Tony Stark battles alcoholism! Spider-Man battles the Juggernaut though the streets of New York! The dawn of a New Universe! Daredevil and Kingpin celebrate Christmas! The Punisher joins the Mafia! Also featuring the Hulk, Magneto, Professor X, a masterful retelling of Daredevil's origin, and more! Collects stories from AMAZING SPIDER-MAN #229-230, #36, ANNUAL #11; IRON MAN #128 and #256; UNCANNY X-MEN #183 and #309; STAR BRAND #1; DAREDEVIL #253; PUNISHER WAR ZONE #1; DAREDEVIL: MAN WITHOUT FEAR #1-2; and HULK #25 and #34.

360 PGS./T+ SUGGESTED FOR TEENS AND UP ...$29.99",None, $9.99,Daredevil,good,Male,Human
Daredevil (1964 - 1998),Marvel Visionaries: Chris Claremont (Hardcover),"August 24, 2005","In celebration of the 30th anniversary of Chris Claremont's first X-Men story, the House of Ideas presents a timeless testament to another true Marvel visionary! Best known for ushering the X-Men from reprints to blockbuster franchise, Claremont has steered Marvel's mutants for three decades while working alongside some of comicdom's top artists. This deluxe keepsake edition collects some of his greatest moments - including stories from DAREDEVIL #102; MARVEL PREMIERE #11; IRON FIST #14; UNCANNY X-MEN #137, #153, #205, #268 and ANNUAL #12; AVENGERS ANNUAL #10; WOLVERINE #3; NEW MUTANTS #21; CLASSIC X-MEN #13; EXCALIBUR #16; and X-MEN UNLIMITED #36.
376 PGS./Marvel T+ ...$29.99
ISBN: 0-7851-1887-x",None,None,Daredevil,good,Male,Human
Daredevil (1964 - 1998),Marvel Visionaries: Steve Ditko (Hardcover),"April 20, 2005","In celebration of its 65th anniversary, the House of Ideas proudly presents a timeless testament to another true Marvel visionary! Best known as the first artist to bring Spider-Man to life in the pages of AMAZING FANTASY, Steve Ditko illustrated AMAZING SPIDER-MAN for four years - helping create characters such as Doctor Octopus, the Lizard, the Vulture and dozens more of Spider-Man's classic villains. In contrast to the grounded realism of Spider-Man, Ditko also drew the adventures of Doctor Strange, a master of the mystic arts who defended Earth's citizens from bizarre otherworldly threats. Now, this deluxe keepsake edition collects his greatest moments - including stories from TALES TO ASTONISH #26 and #42; STRANGE TALES #94, #97, #110, #115, #126, #127 and #146; AMAZING ADULT FANTASY #7, #10, #12, #13 and #14; AMAZING SPIDER-MAN #1, #31-33 and ANNUAL #1; HULK #6 and #249; TALES OF SUSPENSE #48; DAREDEVIL #162;
MARVEL SUPER-HEROES SPECIAL; and SPEEDBALL #1.
336 PGS./All Ages ...$29.99",None,None,Daredevil,good,Male,Human
Daredevil (1964 - 1998),Marvel Visionaries: Stan Lee (Hardcover),"January 26, 2005","In celebration of its 65th anniversary, the House of Ideas proudly presents a timeless testament to another true Marvel visionary! In 1961, writer Stan Lee penned FANTASTIC FOUR #1, an historic issue unlike any comic book that had come before. This super-hero team had true personalities - they doubted their own abilities, battled problems of money and illness, and even fought among themselves. The monumental popularity of this realistic comic-book style inspired Lee to create similarly themed titles - including HULK, X-MEN and AVENGERS with artist Jack Kirby; and AMAZING SPIDER-MAN with artist Steve Ditko. By 1965, Lee had successfully established Marvel Comics as a cohesive universe populated by world-famous comic-book characters. Now, this deluxe keepsake edition collects his greatest moments - some never before reprinted:
• ""Captain America Foils the Traitor's Revenge,"" CAPTAIN AMERICA COMICS #3, Stan's first story, a two-page text piece!
• ""The Red Skull's Deadly Revenge,"" CAPTAIN AMERICA COMICS #16, the defining Golden Age Red Skull story!
• ""The Raving Madman,"" SUSPENSE #29, Stan's satire on Frederick Wertham and the comics witch-hunts of the '50s!
• ""Where Walks the Ghost,"" AMAZING ADULT FANTASY #11, a short, twist-ending story by Lee and Ditko!
Plus: ""Spider-Man,"" AMAZING FANTASY #15; ""A Visit With the Fantastic Four,"" FANTASTIC FOUR #11; ""How Stan and Steve Create Spider-Man,"" AMAZING SPIDER-MAN ANNUAL #1; ""In Mortal Combat with Sub-Mariner,"" DAREDEVIL #7; ""Bedlam in the Baxter Building,"" FANTASTIC FOUR ANNUAL #3; ""And Who Shall Mourn for Him?"" SILVER SURFER #5; ""Brother, Take My Hand,"" DAREDEVIL #47; ""And Now, The Goblin,"" ""In the Grip of the Goblin,"" ""The Goblin's Last Stand,"" AMAZING SPIDER-MAN #96-98; ""No More the Thunder God,"" ""When Gods Go Mad,"" ""One God Must Fall,"" THOR #179-181; ""While the World Spins Mad,"" MARVEL PREMIERE #3; and ""The Cycle of Life,"" SPECTACULAR SPIDER-MAN SUPER-SPECIAL 1995!",None, $9.99,Daredevil,good,Male,Human
Daredevil (1964 - 1998),Marvel Masterworks: Daredevil Vol. 3 (Hardcover),"January 01, 2005","Get a little devil to warm up the cold winter months, a little Daredevil! The Man Without Fear's next hot Masterworks installment is barreling your way with action-packed art by no less than ""Gentleman"" Gene Colan and the sensational stories of super-scribe Stan Lee. Let me tell ya, True Believer, these cats pull no punches! Hold on to your hats as Ol' Hornhead goes toe-to-toe with the Tri-Man and Gladiator, laughs it up at Leap Frog, sticks it to Stilt Man and then marches through a marathon of the Masked Marauder, Mr. Hyde and Cobra! And just when you thought we'd cut him a break, all the baddies go union as Electro's Emissaries of Evil!
If even that's not enough for your frantic fingers don't forget guest appearances from Spider-Man, the Mighty Thor and Ka-Zar! And before we leave let's not forget Matt Murdock's swingin' twin brother, Mike Murdock? Twin brother?!
Collecting DAREDEVIL (VOL. 1) #22-32 and the gigantic DAREDEVIL ANNUAL #1!",None,None,Daredevil,good,Male,Human
Daredevil (1964 - 1998),Daredevil Vol. 10: The Widow (Trade Paperback),"November 17, 2004","You asked for it; you got it: Daredevil's fiery, redheaded ex-partner returns to Hell's Kitchen to help the new Kingpin keep the streets clean. But why is she really back? One of Marvel's greatest love stories takes an interesting turn, and all in the horrible face of...JIGSAW! Guest-starring Nick Fury and the Avengers! Collecting DAREDEVIL #61-66 - plus the very first meeting of Daredevil and the Black Widow, from 1971's DAREDEVIL #81!",None,None,Daredevil,good,Male,Human
Daredevil (1964 - 1998),Daredevil Vs. Bullseye Vol. 1 (Trade Paperback),"January 01, 2004","The devil and the death-dealer. Their enmity toward each other cast a shadow across the bodies of Daredevil's loved ones, all the way to the big screen. Now, see how the first target was drawn in this collection of the earliest battles between Marvel's deadliest assassin and the Man Without Fear!

Collects DAREDEVIL #131-132, #146, #169, #181 and #191.",None,None,Daredevil,good,Male,Human
Daredevil (1964 - 1998),Marvel Masterworks: Daredevil Vol. II - 2nd Edition (1st) (Hardcover),"January 01, 2004",None,None,None,Daredevil,good,Male,Human
Daredevil (1964 - 1998),Marvel Masterworks: Daredevil Vol. I - 2nd Edition (1st) (Hardcover),"December 10, 2003",None,None,None,Daredevil,good,Male,Human
Daredevil (1964 - 1998),DAREDEVIL VOL. 6: LOWLIFE TPB (Trade Paperback),"May 07, 2003","One of the industryís best artists in a collection of one of his best creative runs! John Romita Jr. draws Daredevil in a story arc that introduced one of his most lethal and insane foes, Typhoid Mary, who makes her return to the pages of DD in this monthís Daredevil #47!",None, $9.99,Daredevil,good,Male,Human
Daredevil (1964 - 1998),Daredevil: Love Labors Lost (Trade Paperback),"November 30, 1999","Daredevil and those closest to him face heartbreak in all its forms as new relationships blossom, old loves fade away, and tragedy takes its toll.",None,None,Daredevil,good,Male,Human
Daredevil (1964 - 1998),Daredevil (1964) #380,"October 01, 1998","Back in the states, Daredevil is confronted with another one of Kingpin’s duplicitous schemes. In court, Murdock defends the ‘patsy’ hired to take the rap for Kingpin. In the streets, Daredevil foils Kingpin’s plot by taking down four of his worst enemies!",Dan Chichester, Free,Daredevil,good,Male,Human
Daredevil (1964 - 1998),Daredevil (1964) #379,"September 01, 1998","FLYING BLIND PART 4 Matt Murdock, reunited with his true self! During battle with Kingpin, Laurent Levasseur regains his memories of being Daredevil. His temporary sight fading, DD must also confront one ticked off Foggy Nelson!",Scott Lobdell, Free,Daredevil,good,Male,Human
Daredevil (1964 - 1998),Daredevil (1964) #378,"August 01, 1998",FLYING BLIND PART 3 ‘Laurent’ has a Parisian smack down with several of Kingpin’s thugs. Foggy and S.H.I.E.L.D. begin to put the pieces together on Murdock. The Man Without Fear is in serious trouble- will DD snap out of his amnesia before it’s too late?,Scott Lobdell, Free,Daredevil,good,Male,Human
Daredevil (1964 - 1998),Daredevil (1964) #377,"July 01, 1998","FLYING BLIND PART 2 Stateside, Foggy begins to search for the missing Matt Murdock. In France, undercover agent Laurent Levasseur struggles to understand his affinity for tights and crime fighting. Will Levasseur realize that he and Daredevil are one in the same?",Scott Lobdell, Free,Daredevil,good,Male,Human
Daredevil (1964 - 1998),Daredevil (1964) #376,"June 01, 1998","FLYING BLIND PART 1 Daredevil is all alone in a foreign country. With no recollection of his life as Matt Murdock, the Man Without Fear has no support and no ties to his true identity. An existential crisis at its finest. Plus, who is Laurent Levasseur?",Scott Lobdell, Free,Daredevil,good,Male,Human
Daredevil (1964 - 1998),Daredevil (1964) #375,"May 01, 1998","Karen Page is on trial for the death of a police officer! Mr. Fear is working against her testimony, doing all he can to put Karen behind bars. Can Daredevil cope with the imprisonment of his love? Will Attorney Matt Murdock rise to Karen's defense?",Joe Kelly, Free,Daredevil,good,Male,Human
Daredevil (1964 - 1998),Daredevil (1964) #374,"April 10, 1998",A psychotic cop in league with Mr. Fear is stirring up trouble. This corrupt cop has targeted Foggy Nelson’s sister…for death! Daredevil must save an innocent life before time runs out.,"Jonathan Barron, Joe Kelly", $1.99,Daredevil,good,Male,Human
,,,,,,Daredevil,good,Male,Human
Avengers Origins: Scarlet Witch & Quicksilver (2011),Avengers Origins: Scarlet Witch & Quicksilver (2011) #1,"November 23, 2011","He is X-Factor's hot-headed speedster, and she is arguably the most dangerous mutant alive. But there was once a time when these two were children, twins on the run from those who feared and hated them, belonging with no one save for one another...until they joined the Avengers! For the first time ever in one titanic tale, see the path that took Wanda and Pietro Maximoff from vagrants to mutant terrorists under Magneto to Earth's mightiest heroes!",Sean Mckeever, $3.99,Scarlet Witch,bad,Female,Mutant
Scarlet Witch (2015 - 2017),Scarlet Witch (2015) #15,"February 22, 2017","WITCHCRAFT IS SAFE! BUT WHAT DOES THAT MEAN FOR WANDA? Witchcraft has been saved. Now Wanda has an even harder thing ahead of her - planning her life now her task is done. But first she must face a witch-demon who possesses a young boy with a bloodline connection to witches of yore. Join us as Wanda must battle evil both in present-day New York?and Havana, Cuba in 1954!!",James Robinson, $3.99,Scarlet Witch,bad,Female,Mutant
Scarlet Witch (2015 - 2017),Scarlet Witch (2015) #14,"January 04, 2017","A RACE AGAINST TIME TO SAVE WITCHES EVERYWHERE! WANDA's latest journey for answers has her traveling through alternate dimensions! Amid perils new and old, Wanda, AGATHA and NATALYA will have to fight AIMLESS ONES and INTERDIMENSIONAL DEMONS to discover who is responsible for weakening magic?but with every spell, THE SCARLET WITCH's lifespan is cut ever shorter? Will she be able to find the source in time?",James Robinson, $3.99,Scarlet Witch,bad,Female,Mutant
Scarlet Witch (2015 - 2017),Scarlet Witch (2015) #13,"December 07, 2016","In search of answers about her mother and her own past, Wanda (and Agatha Harkness) once more set foot on the Witches' Road for a perilous journey to the very end of it and the heart and soul of witchcraft itself. Along the way Wanda must face friends and foes from her bizarre life - all of whom conspire to stop her in her quest!",James Robinson, $3.99,Scarlet Witch,bad,Female,Mutant
Scarlet Witch (2015 - 2017),Scarlet Witch (2015) #12,"November 02, 2016","In the place where she was born, WANDA continues to unravel the tangled web of her past! But there are those that lurk in the shadows that don't want her to find answers...And they'll do anything to stop her!",James Robinson, $3.99,Scarlet Witch,bad,Female,Mutant
Scarlet Witch (2015 - 2017),Scarlet Witch (2015) #11,"October 05, 2016",The SCARLET WITCH travels to SERBIA to dive deep into her Romany roots! Who were her parents? Where does she come from? Wanda will discover the answers...and seek her revenge!,James Robinson, $3.99,Scarlet Witch,bad,Female,Mutant
Scarlet Witch (2015 - 2017),Scarlet Witch (2015) #10,"September 14, 2016","The murder of a famous warlock takes the SCARLET WITCH to KYOTO, JAPAN! But little does she know, that as WANDA hunts the murderer, the murderer is also hunting her!!!",James Robinson, $3.99,Scarlet Witch,bad,Female,Mutant
Scarlet Witch (2015 - 2017),Scarlet Witch (2015) #9,"August 10, 2016","CIVIL WAR II TIE-IN! When Wanda's brother PIETRO comes to visit, it's not the happy family reunion they imagined. Pietro recruits Wanda to help him in the Civil War...but what happens when the SCARLET WITCH and QUICKSILVER are on opposing sides?",James Robinson, $3.99,Scarlet Witch,bad,Female,Mutant
Scarlet Witch (2015 - 2017),Scarlet Witch (2015) #8,"July 06, 2016","A day in the life of WANDA MAXIMOFF! After coming face to face with her biological mother, Wanda explores her early memories and attempts to reconcile with the sins of her past. But meanwhile, little does she know that a traitor lurks in her very midst...!",James Robinson, $3.99,Scarlet Witch,bad,Female,Mutant
Scarlet Witch (2015 - 2017),Scarlet Witch (2015) #7,"June 22, 2016","WANDA MAXIMOFF heads to HONG KONG to solve her next magical mystery. An ancient warlock, the DARK TONGI, has taken hold of the city. The Scarlet Witch must seek the help of a young witch, THE WU. But the Wu has her own battle to fight...",James Robinson, $3.99,Scarlet Witch,bad,Female,Mutant
Scarlet Witch (2015 - 2017),Scarlet Witch (2015) #6,"May 04, 2016","PARIS, JE T'AIME. Wanda's next magical mystery takes her to the streets of Paris, France! There she teams up with broken-hearted hero LE PEREGRINE, who has lost his ability to fly. In order to make him whole again, the SCARLET WITCH will have to risk life and limb visit ghosts of the past...",James Robinson, $3.99,Scarlet Witch,bad,Female,Mutant
Scarlet Witch (2015 - 2017),Scarlet Witch (2015) #5,"April 06, 2016","WANDA'S journey takes her to Spain! There she finds an old vineyard converted from a haunted church where witches used to be burned at the stake. But to unravel the mystery of the hauntings, she must first fight off the ghosts of the SPANISH INQUISITION!",James Robinson, $3.99,Scarlet Witch,bad,Female,Mutant
Scarlet Witch (2015 - 2017),Scarlet Witch (2015) #4,"March 16, 2016","In order to confront a new enemy, SCARLET WITCH must journey to a magical realm called the WITCHES ROAD. The path is full of dark surprises lurking around every corner -- Wanda must keep her wits about her to survive. But will a surprise visit from a long-lost relative make Wanda lose her way?",James Robinson, $3.99,Scarlet Witch,bad,Female,Mutant
Scarlet Witch (2015 - 2017),Scarlet Witch (2015) #3,"February 03, 2016",A magical curse has befallen the Irish countryside and only the SCARLET WITCH has the cure! A powerful new magician by the name of the EMERALD WARLOCK has his eye on Wanda?but is he friend or foe? Wanda discovers that there is much more to her family history than meets the eye?,James Robinson, $3.99,Scarlet Witch,bad,Female,Mutant
Scarlet Witch (2015 - 2017),Scarlet Witch (2015) #2,"January 13, 2016",WANDA ENTERS THE LABYRINTH! The sickness in witchcraft is spreading. A murderous creature from ancient lore has come to life and is terrorizing the Greek isle of Santorini. Wanda teams up with Goddess Hekate! But will they uncover something even darker beneath the surface of this mystery?,James Robinson, $3.99,Scarlet Witch,bad,Female,Mutant
Scarlet Witch (2015 - 2017),Scarlet Witch (2015) #1,"December 09, 2015","Witchcraft is broken - and the SCARLET WITCH is on a journey across the globe to fix it. From the back alleys of Manhattan, to the serene Greek Isles, to the bustling streets of Hong Kong, Wanda will have to face down her foes and find out who her true friends are. But as Wanda solves magical crimes and pieces witchcraft back together, the most important question remains: Who is the mastermind that broke it in the first place? Written by Eisner Award winner JAMES ROBINSON, with covers by Eisner Award winner DAVID AJA with the first issue drawn by fan-favorite VANESA DEL REY!",James Robinson, $3.99,Scarlet Witch,bad,Female,Mutant
Timely Comics: Scarlet Witch (2016),Timely Comics: Scarlet Witch (2016) #1,"June 22, 2016","They're the comics everyone is talking about, now is your chance to hop on board before you get left in the dust! Marvel is proud to announce TIMELY COMICS, a new imprint of titles specially designed to get you caught up with hot All-New, All-Different Marvel titles! Reprinting the first three issues of select titles at an introductory price point of $3.00, Timely Comics will take you on a path through the restored Marvel Universe! The forming of the Avengers, Daredevil's fight for Chinatown, the birth of the Totally Awesome Hulk and so much more! These titles sold out and burned up the charts, so don't miss out on them now. Your new favorite series awaits, so get three issues for the $3.00 this June with TIMELY COMICS!",James Robinson, $3.00,Scarlet Witch,bad,Female,Mutant
